cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
北京魔影国际影城(金源店),1.2万,277,5,45.2
赣州CGV影城(万象城IMAX店),1.2万,347,7,36.0
上海海上明珠国际影城(环球港店),1.2万,291,6,42.9
成都CGV影城(金牛IMAX店),1.2万,330,7,37.4
成都CGV影城(金楠IMAX店),1.2万,342,6,35.8
上海万达影城(五角场万达广场店),1.2万,281,5,43.5
天津CGV星星影城(滨海IMAX店),1.2万,360,8,33.8
保定万达影城(万博广场店),1.2万,368,9,32.9
长治长治万达广场店,1.1万,328,8,36.3
沈阳CGV影城(中街盾安新一城店),1.1万,340,8,34.9
盖州完美世界影城(17.5华阳店),1.1万,389,17,30.5
北京新影联·华谊兄弟影院(望京店),1.1万,323,6,36.7
郑州CGV影城(大卫城IMAX店),1.1万,322,7,36.7
长沙CGV影城(星沙IMAX店),1.1万,291,6,40.5
通化博纳巨幕影城,1.1万,418,10,28.2
上海SFC上影影城(美罗城店),1.1万,261,11,45.0
西安CGV影城(印象城IMAX店),1.1万,329,8,35.7
上海百丽宫影城(ifc商场店),1.1万,242,7,48.3
广州CGV影城(K11店),1.1万,113,3,103.2
鞍山中影·国际影城(胜利南路店),1.1万,493,10,23.6
石家庄万达影城(裕华万达广场IMAX店),1.1万,337,6,34.4
上海万达影城(宝山万达广场店),1.1万,261,4,44.4
青岛CGV影城(新都心IMAX店),1.1万,284,8,40.6
北京金泉港IMAX国际影城,1.1万,264,4,43.6
上海星光影城(亚新旗舰店),1.1万,302,6,38.1
长春欢乐城国际影城,1.1万,451,9,25.5
石家庄UME国际影城,1.1万,378,6,30.4
宁波CGV影城(鄞州IMAX店),1.1万,262,5,43.7
成都百老汇影城(万象城店),1.1万,312,9,36.7
成都万达影城(锦华万达广场店),1.1万,299,5,38.3
北京UME国际影城(华星店),1.1万,207,5,55.2
大连万达国际影城(高新店),1.1万,356,6,31.9
北京博纳国际影城(悠唐店),1.1万,243,6,46.8
西安CGV影城(万象城店),1.1万,330,7,34.3
大连万达国际影城(经开万达广场店),1.1万,333,7,33.9
广州天河电影城(天娱广场店),1.1万,284,5,39.7
北京活力天宝国际影城,1.1万,400,5,28.1
长沙CGV影城(岳麓IMAX店),1.1万,294,6,38.1
北京橙天嘉禾影城(祥云小镇店),1.1万,168,5,66.7
上海SFC上影百联影城(八佰伴IMAX店),1.1万,242,5,46.2
成都海上明珠国际影城(银泰店),1.1万,316,7,35.4
昆明万达影城(同德广场店),1.1万,299,5,37.1
广州飞扬影城(乐峰店),1.1万,315,6,35.1
西安万达影城(高新万达广场店),1.1万,291,4,38.0
深圳UA影院(KKMALL店),1.0万,245,6,44.6
重庆UME影城(北城天街店),1.0万,332,4,32.8
天津佳映国际影城(滨江道店),1.0万,310,4,35.0
武汉武汉博纳国际影城(IMAX),1.0万,354,6,30.5
成都万达影城(金牛万达广场店),1.0万,288,4,37.4
西安奥斯卡熙地港国际影城(熙地港店),1.0万,327,6,32.9
上海橙天嘉禾影城(LuOne凯德晶萃店),1.0万,178,5,60.2
梅州亮胜客家艺术中心剧院,1.0万,476,119,22.5
福州中瑞国际影城(三坊七巷店),1.0万,279,3,38.1
北京百老汇影城(国瑞购物中心店),1.0万,260,6,40.8
广州北京路飞扬影城IMAX店,1.0万,417,5,25.4
兰州万达国际影城(城关广场店),1.0万,265,5,39.9
温州卢米埃温州万象城IMAX影城,1.0万,238,7,44.1
昆明大都光魔激光影院,1.0万,303,6,34.6
深圳中影国际影城(深圳益田假日广场店),1.0万,254,7,41.3
深圳海岸影城,1.0万,293,8,35.8
广州中影佰纳国际影城(花都广百新一城店),1.0万,287,6,36.5
广州青宫电影城,1.0万,384,6,27.2
南京喜满客影城(万谷店),1.0万,376,7,27.8
北京博纳国际影城(万寿路店),1.0万,255,7,41.0
沈阳CGV影城(金融中心IMAX店),1.0万,314,6,33.0
哈尔滨万达国际影城(哈西店),1.0万,277,6,37.4
大连万达国际影城(和平店),1.0万,298,6,34.6
厦门卢米埃厦门宝龙一城IMAX影城,1.0万,328,7,31.3
天津天津百丽宫影城陆家嘴店,1.0万,283,6,36.2
长沙中影星美国际影城(万家丽店),1.0万,338,4,30.2
北京首都电影院(金融街店),1.0万,273,8,37.2
徐州徐州苏宁影城,1.0万,302,6,33.5
天津CGV影城(梅江店),1.0万,285,7,35.5
北京万达影城(丰台店),1.0万,245,3,41.2
济南万达影城(世茂店),1.0万,243,4,41.5
廊坊万达影城(万达广场IMAX店),1.0万,313,6,32.1
长春中影影天下巨幕影城(活力城店),1.0万,287,5,35.0
洛阳万达影城(世茂广场店),1.0万,301,7,33.3
广州CGV影城(永旺店),1.0万,288,8,34.8
北京美嘉欢乐影城(中关村店),1.0万,235,5,42.6
鄱阳奥斯卡影城(鄱阳店),1.0万,377,12,26.5
