cinemaName,boxInfo,viewInfo,avgShowView,avgViewBox
宁海金逸泰悦影城(宁海店),6.5万,2190,45,29.8
上海嘉定影剧院,5.7万,1646,97,34.8
合川万画X超幕影城(合川店),5.5万,1836,66,30.0
深圳深圳百老汇电影中心(IMAX万象天地店),5.1万,850,14,60.2
南宁时代电影大世界,4.0万,854,13,47.5
上海大光明电影院(南京西路店),3.9万,1052,31,37.3
安阳天翼奥斯卡影城,3.7万,1154,83,32.7
仙居星轶STARX影城(仙居吾悦广场店),3.5万,1205,25,29.7
青岛CGV影城(万象城IMAX店),3.4万,610,10,56.8
运城华夏星光影城(运城店),3.4万,1197,24,28.4
广州百丽宫IMAX影城(猎德igc店),3.4万,618,14,55.0
深圳CGV影城(壹方城IMAX店),3.3万,486,8,68.2
北京首都电影院(悦荟万科广场店),3.1万,816,16,39.1
上海CGV影城(七宝万科广场IMAX店),3.1万,453,8,69.3
宁海宁海万象国际影城,3.0万,1010,15,30.0
上海SFC上影影城(美罗城店),2.8万,519,21,54.8
苏州CGV影城(苏州中心IMAX店),2.6万,422,8,63.6
北京UME国际影城(双井店),2.6万,449,8,58.0
北京UME国际影城(华星店),2.4万,282,8,87.7
北京保利国际影城(苹果园店),2.4万,372,13,66.3
永州新城名都国际影城,2.4万,828,42,29.5
南京新街口国际影城(德基广场IMAX店),2.4万,663,7,36.2
深圳万象影城(深圳湾万象城旗舰店),2.3万,303,7,78.3
海口CGV影城(友谊阳光城IMAX店),2.3万,500,11,46.9
通化博纳巨幕影城,2.3万,716,18,32.7
杭州CGV影城(滨江天街IMAX店),2.3万,417,8,56.0
上海CGV影城(白玉兰广场IMAX店),2.3万,420,9,55.5
福州CGV影城(东二环IMAX店),2.3万,504,9,46.1
武汉金逸影城IMAX(光美武汉荟聚店),2.3万,737,11,31.4
南京CGV影城(百家湖店),2.3万,661,14,35.0
哈尔滨CGV影城(会展中心IMAX店),2.3万,609,10,37.9
长沙CGV影城(德思勤IMAX店),2.3万,433,9,53.3
宁波CGV影城(文化广场IMAX店),2.2万,581,12,39.4
宜兴CGV影城(八佰伴店),2.2万,434,9,52.0
北京CGV影城(清河店),2.2万,359,10,61.4
北京CGV星星影城(颐堤港店),2.1万,304,8,71.3
北京CGV影城(亦庄店),2.1万,359,9,58.6
成都CGV影城(高新IMAX店),2.0万,468,10,44.8
大连CGV影城(东港IMAX店),2.0万,516,9,40.5
上海百丽宫影城(环贸iapm店),2.0万,258,8,81.0
上海SFC上影影城(港汇永华IMAX店),2.0万,285,5,72.5
赣州CGV影城(万象城IMAX店),2.0万,503,10,40.9
北京首都电影院(西单店),2.0万,321,5,63.9
宁海中影集禾国际影城(桃源广场店),2.0万,677,15,29.9
宁波CGV影城(鄞州IMAX店),1.9万,432,9,45.8
天津CGV星星影城(滨海IMAX店),1.9万,535,11,36.9
乌鲁木齐盘龙影院,1.9万,630,35,31.2
沈阳CGV影城(金融中心IMAX店),1.9万,491,9,39.8
长沙CGV影城(岳麓IMAX店),1.9万,435,9,44.1
杭州CGV影城(乐堤港IMAX店),1.9万,412,8,46.3
武汉CGV影城(奥山IMAX店),1.9万,498,8,38.3
成都CGV影城(金牛IMAX店),1.8万,452,10,41.8
长沙CGV影城(梅溪湖IMAX店),1.8万,396,10,47.3
大连CGV影城(柏威年店),1.8万,479,11,39.1
广州展映龙骏影城,1.8万,821,27,22.8
江门CGV影城(蓬江IMAX店),1.8万,505,11,36.8
武汉CGV影城(金银潭店),1.8万,459,10,40.5
南沙广州思哲国际影城(东涌店),1.8万,525,22,35.0
深圳百老汇影城(cocopark店),1.8万,395,12,45.7
重庆万画影城(新溉路店),1.7万,477,12,37.4
上海CGV影城(浦东印象城店),1.7万,318,8,56.0
广州CGV影城(K11店),1.7万,185,4,96.2
郑州CGV影城(大卫城IMAX店),1.7万,426,10,41.5
泸州CGV影城(万象汇IMAX店),1.7万,456,10,38.7
长沙CGV影城(星沙IMAX店),1.7万,363,8,47.7
重庆CGV影城(茶园店),1.7万,463,11,37.3
成都CGV影城(金楠IMAX店),1.7万,429,8,40.2
天津CGV影城(黄河道店),1.7万,475,12,36.2
芜湖CGV影城(中央城店),1.7万,546,10,31.5
重庆CGV影城(源著IMAX店),1.7万,409,8,41.9
成都CGV影城(温江店),1.7万,444,8,38.5
宁波博纳国际影城北仑IMAX店,1.7万,451,7,37.9
北京CGV影城(顺义店),1.7万,296,7,57.6
西安横店电影城(西安中贸店),1.6万,524,10,32.2
上海百美汇影城(嘉里中心店),1.6万,244,8,68.5
上海万达影城(五角场万达广场店),1.6万,287,6,58.0
武汉CGV影城(光谷IMAX店),1.6万,467,9,35.6
无锡CGV影城(盛岸IMAX店),1.6万,425,9,39.0
东莞CGV影城(国贸城IMAX店),1.6万,498,9,33.2
伊宁银河电影公园,1.6万,498,12,33.0
安溪安溪大地茗城影院,1.6万,722,25,22.7
北京CGV星星影城(奥体店),1.6万,379,8,43.0
南沙思哲国际影城(番禺大岗店),1.6万,463,16,35.0
邯郸CGV影城(环球中心IMAX店),1.6万,439,10,36.8
昆明CGV影城(海伦IMAX店),1.6万,405,9,39.8
西安CGV影城(印象城IMAX店),1.5万,379,8,42.0
郑州CGV影城(高新IMAX店),1.5万,420,10,37.9
昆明CGV影城(呈贡IMAX店),1.5万,423,10,37.6
岳阳CGV影城(岳阳步步高IMAX店),1.5万,359,7,44.0
沈阳CGV影城(中街盾安新一城店),1.5万,411,9,37.9
上海SFC上影影城(喜玛拉雅店),1.5万,401,10,38.6
广州金逸国际影城(海珠城IMAX店),1.5万,288,6,53.7
盐城CGV影城(中南城IMAX店),1.5万,458,10,33.7
哈尔滨CGV影城(学府店),1.5万,418,9,36.9
许昌襄城一峰奥斯卡激光影城,1.5万,463,15,33.0
北京天幕新彩云国际影城,1.5万,464,11,32.8
余姚CGV影城(城东IMAX店),1.5万,382,8,39.5
武汉CGV影城(永旺金桥IMAX店),1.5万,394,9,38.3
萍乡CGV影城(润达店),1.4万,452,11,33.1
天津CGV影城(梅江店),1.4万,393,9,38.0
赣州世纪光影国际影城,1.4万,595,24,24.9
重庆CGV影城(U城IMAX店),1.4万,381,8,38.8
常州CGV影城(龙城天街IMAX店),1.4万,391,8,37.8
