nickName,cityName,score,content,startTime
枫丹白露1228,兰州,4.5,华裔导演的作品，里面有功夫情结，而且特效水准太高了，亚特兰蒂斯好像就是这样的，点个赞。还有，海王身材让人流口水😍😍海后美呆了😘😘,2018-12-08 10:29:11
BBE793503098,郑州,5.0,dc  成长的好快..   加油.,2018-12-08 10:28:58
gyl23x,武汉,4.5,特效爆炸无敌,2018-12-08 10:28:32
nKY196200870,上海,4.0,开头节奏和转场都很完美，就是剧情太长，后半段突然开始盗墓笔记和星球大战。,2018-12-08 10:28:28
zs张zs,舟山,5.0,很不错的片子，特效、剧情、画面、演技都是杠杠的，非常推荐！,2018-12-08 10:28:22
我咬死你,赤峰,5.0,非常完美，温子仁又牛逼了。值得看！,2018-12-08 10:28:16
gHU876751856,长沙,5.0,很不错的大片，特效满分！剧情很紧凑，激情四射！,2018-12-08 10:28:12
风居住的街道,湘潭,0.5,我佛了  看的我想睡觉 空有特效   服装道具跟玩具似的根本不像海里的种族   被吹的上天了,2018-12-08 10:28:00
lgk157865828,昌邑,5.0,特效很棒 剧情虽然尴尬了一些  但是这种电影本身看的就是特效不是吗,2018-12-08 10:27:54
🏝Limbo。红圈CRM高雨辰,天津,5.0,作为世界影业的老大哥华纳，实力是毋庸置疑的，不得不说鬼才导演请得很好，希望华纳也能像迪士尼一样，给dc充足的信任做出更好的作品，让人气本身就比漫威高很多的正义联盟的魅力能够完全地展现在世人眼前。大爱老爷！,2018-12-08 10:27:30
KinG丶ETJ,长沙,0.5,。买错了不能退票比较无奈,2018-12-08 10:26:51
QYJ幕后,台山,5.0,非常完美非常好看，期待能有十部。,2018-12-08 10:26:51
李韵迪,深圳,5.0,好看好看好看,2018-12-08 10:25:58
悠悠秦瑟依,呼和浩特,5.0,好看!⊙▽⊙,2018-12-08 10:25:33
LKB237990083,顺德,5.0,好看，特效很炫，剧情也尚可。,2018-12-08 10:25:32
很无语的事,即墨,5.0,温子仁出品，必属精品。特效震撼，亚特兰蒂斯自成一世界，美中不足的是一味地效仿漫威式幽默，反而没有起到多大的效果。其实DC完全没有必要为了迎合观众而放弃自己的特点，总之这次DC打了一场漂亮的翻身仗，把之前《正义联盟》《自杀小队》等欠下的债都还回来了。,2018-12-08 10:25:18
云淡,上海,5.0,《海王》全程燃爆了，特效炸裂，妮可基德曼真的好美！海王好帅好MAN！和女主探寻三叉戟提示那段挺逗的[偷笑]结尾海王父亲每天在码头等候，女王终于归来，感动！,2018-12-08 10:25:13
XRa188451370,凉山,5.0,炫酷，超级好看！,2018-12-08 10:24:09
顾北山,大悟县,5.0,非常好看。。。。,2018-12-08 10:23:51
yEW769238539,锦州,5.0,好看。。。。。。。,2018-12-08 10:23:42
promise10008,济南,5.0,值得推荐的影片,2018-12-08 10:23:36
姜先生,北京,4.5,挺刺激的  值得一看  个人感觉还可以啦😄 ,2018-12-08 10:23:18
桂宝,鞍山,5.0,很好看(｡･ω･｡)ﾉ♡,2018-12-08 10:23:04
Rich·brian,杭州,5.0,很爽 很刺激,2018-12-08 10:22:58
dIB533654846,大连,5.0,特效非常棒，震撼，国产应该好好学学，剧情在详细一些，不过那样时间就增加了，演员选的好，满屏的大长腿，最后决战的时候让我想到了“海鲜大咖”，各种海鲜，好想吃的感觉，影片不错，准备再看一次！,2018-12-08 10:22:56
sho496949005,襄阳,5.0,电影剧情简洁，动作场面宏大,2018-12-08 10:22:43
Lpn642455425,广州,4.0,你们字幕看的清楚吗，还是我的3D眼睛有问题？,2018-12-08 10:22:32
maple5823,烟台,4.0,从一部电影里能看到许多电影的影子,2018-12-08 10:22:27
小飞哥,上海,5.0,很多人估计都专注于场面的宏大及特效的制作上。其实温导在海洋和陆地的冲突上的描绘才更应该引人关注！一边是人们对于海洋资源和水源环境的污染破坏，一边是海洋人的反抗，作为链接海洋和大陆的海王的内心矛盾刻画的淋漓尽致！不同于以往的英雄人物的角色设定和刻画！十星好评,2018-12-08 10:22:24
杰克,永川,4.0,感觉有点中国风的融入，，细节更仔细，挺好,2018-12-08 10:21:52
麼麼哒_,深圳,5.0,特效做得很好。不愧是外国的,2018-12-08 10:21:50
Worky,珠海,4.0,很合格的大片,2018-12-08 10:21:45
骚凡263,高碑店,5.0,。。。。。。。。,2018-12-08 10:21:39
XNr893440049,朝阳,5.0,大家好 我是亚特兰蒂斯的二皇子 我好惨啊 不知道从哪跑出来一个失散二十多年的大哥 抢我家产 还抢我老婆 还把我关进大牢 不过机智的我终于逃出来了 现在众筹东山再起 等到成功了 请大家吃海鲜 有意请联系我 谢谢,2018-12-08 10:21:02
KdY547993522,武定,4.5,不错哦，，，，,2018-12-08 10:20:59
大米爱小牛,无锡,5.0,巨好看，堪比阿凡达,2018-12-08 10:20:57
DisneyMickey,北京,2.5,是你们越来越爱瞎打分，还是我口味越来越跟你们不一样,2018-12-08 10:20:55
SundaeLV,乌鲁木齐,5.0,堪称完美...真的好好看哦,2018-12-08 10:20:51
我是一只大公鹅,东海,5.0,视觉效果满分，毕竟导演在那，女主也加分，很美～加上中国提前上映的感觉！好啦，年底最好电影你们没意见吧～～😄,2018-12-08 10:20:24
贾斌,漯河,5.0,看的我激情澎湃，十分完美！就是电影院太冷了，不开空调！！,2018-12-08 10:20:18
Kdk530011675,衡水,4.5,情节完整，特效绚丽，人物脉络清晰,2018-12-08 10:20:15
KTa106102691,丽水,5.0,很不错的片子，强烈推荐,2018-12-08 10:20:05
苏朱真,石家庄,3.5,整个观影过程比较平淡，看完感觉不过如此，超级英雄电影看完一点热血澎湃的赶脚都没有！其实湄拉是主角吧，海王是来打酱油的吧，感觉湄拉一直在忙前忙后的，海王你除了跟在媳妇儿后边捡装备还干了啥！本来全片应该有个大高潮，就是取三叉戟🔱那段，但是要不要这么容易啊！出来个怪兽意思意思比划了两下就取到了，还一键get神装。怎么着慢镜头特写背景音乐来一发啊！还有跟弟弟的两次决斗，这完全是在拼装备吧，请问两次打斗有什么区别吗？搞了个厉害的武器就赢了，那个转叉子的绝招是怎么学会的？装备附赠技能吗？最后不得不吐槽一下DC的反派，业务能力实在不行啊！麻烦请认真搞事情好吗？这么弱是来搞笑的吗！反派标榜请参照隔壁紫薯精！,2018-12-08 10:19:59
喵了个咪,深圳,3.5,特效还可以，剧情嘛一般，超级英雄的老套路，皆大欢喜的结局,2018-12-08 10:19:40
爱看大片的小子,重庆,5.0,很不错的一部电影,2018-12-08 10:19:28
